"Date","Time","Pt.Conc","Lat","Long","Route","sheetname","Day","period","minute"
2025-08-28,08:10:20,58900,-36.8501216,174.7612726,"1","Thur.AM","Thu","AM","(8.85,11.8]"
2025-08-28,08:24:06,56400,-36.842966,174.7638859,"1","Thur.AM","Thu","AM","(23.6,26.6]"
2025-08-28,08:48:09,96400,-36.8487134,174.7740519,"1","Thur.AM","Thu","AM","(47.2,50.2]"
2025-08-28,08:55:56,75900,-36.8507424,174.7715954,"1","Thur.AM","Thu","AM","(53.1,56.1]"
2025-08-28,09:01:02,58900,-36.8525765,174.7696224,"1","Thur.AM","Thu","AM","(-0.059,2.95]"
2025-08-28,08:28:11,61300,-36.8445482,174.7670092,"2","Thur.AM","Thu","AM","(26.6,29.5]"
2025-08-28,08:56:01,139000,-36.8517427,174.7663833,"2","Thur.AM","Thu","AM","(53.1,56.1]"
2025-08-28,08:14:42,92300,-36.8496553,174.760543,"3","Thur.AM","Thu","AM","(11.8,14.8]"
2025-08-28,08:16:39,228000,-36.8493495,174.7594813,"3","Thur.AM","Thu","AM","(14.8,17.7]"
2025-08-28,08:47:50,64500,-36.8437338,174.7635753,"3","Thur.AM","Thu","AM","(44.2,47.2]"
2025-08-28,08:50:44,66200,-36.8443407,174.7652607,"3","Thur.AM","Thu","AM","(47.2,50.2]"
2025-08-28,08:53:42,87400,-36.8443574,174.7653608,"3","Thur.AM","Thu","AM","(50.2,53.1]"
2025-08-28,16:30:02,53300,-36.8442195,174.7634732,"1","Thur.PM","Thu","PM","(29.5,32.5]"
2025-08-28,16:36:47,132000,-36.8427815,174.7642139,"1","Thur.PM","Thu","PM","(35.4,38.4]"
2025-08-28,16:45:04,139000,-36.8436777,174.7670118,"1","Thur.PM","Thu","PM","(44.2,47.2]"
2025-08-28,16:03:59,85900,-36.8482875,174.7697906,"2.p9","Thur.PM","Thu","PM","(2.95,5.9]"
2025-08-28,16:21:29,82200,-36.8465553,174.7660301,"2.p9","Thur.PM","Thu","PM","(20.7,23.6]"
2025-08-28,16:26:16,90800,-36.8492484,174.7653759,"2.p9","Thur.PM","Thu","PM","(23.6,26.6]"
2025-08-28,16:09:08,57400,-36.849776,174.7605069,"3","Thur.PM","Thu","PM","(8.85,11.8]"
2025-08-28,16:23:12,76100,-36.8459799,174.7568505,"3","Thur.PM","Thu","PM","(20.7,23.6]"
2025-08-28,16:31:15,95500,-36.8432251,174.7616987,"3","Thur.PM","Thu","PM","(29.5,32.5]"
